location,year,plot,block,variety,inoculum,inocType,isolate,dt,odate,dap,syInc_dy,syinc_cum,myInc_obs,myInc_cum,myInc_dy,incAll4_dy,incAll4_cum,incAll4_obs,syInc_obs,germ_dy/dt,sy_dy/dt,can_cover
Live Oak,2019,101,1,GA06G,Scl-MA22,Scl,MA22,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,101,1,GA06G,Scl-MA22,Scl,MA22,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,101,1,GA06G,Scl-MA22,Scl,MA22,14,7/24/2019,63,0,0,40,40,40,40,40,40,0,2.857142857,0,
Live Oak,2019,101,1,GA06G,Scl-MA22,Scl,MA22,16,8/9/2019,79,40,40,45,55,15,15,55,45,40,0.9375,2.5,
Live Oak,2019,101,1,GA06G,Scl-MA22,Scl,MA22,13,8/22/2019,92,0,40,15,60,5,5,60,15,5,0.384615385,0,
Live Oak,2019,101,1,GA06G,Scl-MA22,Scl,MA22,13,9/4/2019,105,25,65,10,65,5,20,80,40,40,0.384615385,1.923076923,
Live Oak,2019,101,1,GA06G,Scl-MA22,Scl,MA22,14,9/18/2019,119,10,75,0,65,0,10,90,30,30,0,0.714285714,
Live Oak,2019,102,1,GA06G,Scl-LE48,Scl,LE48,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,102,1,GA06G,Scl-LE48,Scl,LE48,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,102,1,GA06G,Scl-LE48,Scl,LE48,14,7/24/2019,63,55,55,75,75,75,85,85,85,55,5.357142857,3.928571429,
Live Oak,2019,102,1,GA06G,Scl-LE48,Scl,LE48,16,8/9/2019,79,30,85,70,95,20,10,95,75,75,1.25,1.875,
Live Oak,2019,102,1,GA06G,Scl-LE48,Scl,LE48,13,8/22/2019,92,0,85,15,95,0,0,95,15,15,0,0,
Live Oak,2019,102,1,GA06G,Scl-LE48,Scl,LE48,13,9/4/2019,105,0,85,10,95,0,0,95,35,30,0,0,
Live Oak,2019,102,1,GA06G,Scl-LE48,Scl,LE48,14,9/18/2019,119,0,85,0,95,0,0,95,50,50,0,0,
Live Oak,2019,103,1,GA06G,Grn-LE48,Grn,LE48,44,7/5/2019,44,5,5,5,5,5,5,5,5,5,0.113636364,0.113636364,
Live Oak,2019,103,1,GA06G,Grn-LE48,Grn,LE48,5,7/10/2019,49,0,5,5,5,0,0,5,5,0,0,0,
Live Oak,2019,103,1,GA06G,Grn-LE48,Grn,LE48,14,7/24/2019,63,45,50,45,45,40,50,55,55,45,2.857142857,3.214285714,
Live Oak,2019,103,1,GA06G,Grn-LE48,Grn,LE48,16,8/9/2019,79,35,85,65,70,25,30,85,85,85,1.5625,2.1875,
Live Oak,2019,103,1,GA06G,Grn-LE48,Grn,LE48,13,8/22/2019,92,0,85,10,70,0,0,85,30,30,0,0,
Live Oak,2019,103,1,GA06G,Grn-LE48,Grn,LE48,13,9/4/2019,105,0,85,0,70,0,0,85,35,35,0,0,
Live Oak,2019,103,1,GA06G,Grn-LE48,Grn,LE48,14,9/18/2019,119,0,85,25,75,5,0,85,75,75,0.357142857,0,
Live Oak,2019,104,1,GA06G,Control,Con,0,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,104,1,GA06G,Control,Con,0,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,104,1,GA06G,Control,Con,0,14,7/24/2019,63,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,104,1,GA06G,Control,Con,0,16,8/9/2019,79,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,104,1,GA06G,Control,Con,0,13,8/22/2019,92,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,104,1,GA06G,Control,Con,0,13,9/4/2019,105,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,104,1,GA06G,Control,Con,0,14,9/18/2019,119,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,105,1,GA06G,Grn-MA22,Grn,MA22,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,105,1,GA06G,Grn-MA22,Grn,MA22,5,7/10/2019,49,10,10,10,10,10,20,20,20,10,2,2,
Live Oak,2019,105,1,GA06G,Grn-MA22,Grn,MA22,14,7/24/2019,63,40,50,60,65,55,55,75,65,45,3.928571429,2.857142857,
Live Oak,2019,105,1,GA06G,Grn-MA22,Grn,MA22,16,8/9/2019,79,35,85,40,80,15,25,100,65,65,0.9375,2.1875,
Live Oak,2019,105,1,GA06G,Grn-MA22,Grn,MA22,13,8/22/2019,92,10,95,5,80,0,0,100,40,40,0,0.769230769,
Live Oak,2019,105,1,GA06G,Grn-MA22,Grn,MA22,13,9/4/2019,105,5,100,20,80,0,0,100,55,55,0,0.384615385,
Live Oak,2019,105,1,GA06G,Grn-MA22,Grn,MA22,14,9/18/2019,119,0,100,0,80,0,0,100,85,85,0,0,
Live Oak,2019,106,1,GA06G,Cont-Grn,G_c,0,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,106,1,GA06G,Cont-Grn,G_c,0,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,106,1,GA06G,Cont-Grn,G_c,0,14,7/24/2019,63,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,106,1,GA06G,Cont-Grn,G_c,0,16,8/9/2019,79,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,106,1,GA06G,Cont-Grn,G_c,0,13,8/22/2019,92,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,106,1,GA06G,Cont-Grn,G_c,0,13,9/4/2019,105,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,106,1,GA06G,Cont-Grn,G_c,0,14,9/18/2019,119,10,10,0,0,0,10,10,10,10,0,0.714285714,
Live Oak,2019,107,1,GA06G,Grn-JA25,Grn,JAMA225,44,7/5/2019,44,25,25,15,15,15,25,25,25,25,0.340909091,0.568181818,
Live Oak,2019,107,1,GA06G,Grn-JA25,Grn,JAMA225,5,7/10/2019,49,5,30,0,15,0,5,30,20,20,0,1,
Live Oak,2019,107,1,GA06G,Grn-JA25,Grn,JAMA225,14,7/24/2019,63,20,50,5,20,5,20,50,20,20,0.357142857,1.428571429,
Live Oak,2019,107,1,GA06G,Grn-JA25,Grn,JAMA225,16,8/9/2019,79,25,75,55,60,40,25,75,65,65,2.5,1.5625,
Live Oak,2019,107,1,GA06G,Grn-JA25,Grn,JAMA225,13,8/22/2019,92,0,75,0,60,0,0,75,10,10,0,0,
Live Oak,2019,107,1,GA06G,Grn-JA25,Grn,JAMA225,13,9/4/2019,105,0,75,10,65,5,0,75,10,10,0.384615385,0,
Live Oak,2019,107,1,GA06G,Grn-JA25,Grn,JAMA225,14,9/18/2019,119,15,90,0,65,0,15,90,40,40,0,1.071428571,
Live Oak,2019,108,1,GA06G,Scl-JA25,Scl,JAMA225,44,7/5/2019,44,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,108,1,GA06G,Scl-JA25,Scl,JAMA225,5,7/10/2019,49,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,108,1,GA06G,Scl-JA25,Scl,JAMA225,14,7/24/2019,63,0,0,0,0,0,0,0,0,0,0,0,
Live Oak,2019,108,1,GA06G,Scl-JA25,Scl,JAMA225,16,8/9/2019,79,0,0,0,0,0,0,0,0,0,0,0,
